_id,name,author,translator,artist,editor,publishing,year,series,collection,genre,weight,dimensions.length,dimensions.width,dimensions.height,rating,price,link
768723,Ковёр-самолёт,Крапивин Владислав Петрович,,Медведев Евгений Алексеевич,Иванова Виктория,Лабиринт,2020,Детская художественная литература,"Лучшие книги Крапивина, Иллюстрированная библиотека фантастики и приключений",,732,224,173,24,9,856,https://www.labirint.ru/books/768723/
1005781,Мила Рудик. Начало. Комплект из 3-х книг,Вольских Алека Альбертовна,,,,Качели,2023,Комплекты,,,1622,205,132,85,9,2573,https://www.labirint.ru/books/1005781/
776586,The Handmaid’s Tale,Atwood Margaret,,,,Everyman,2006,Everyman`s Library,,,486,210,135,26,4.5,3006,https://www.labirint.ru/books/776586/
847687,"Гори, ведьма, гори!",Меррит Абрахам Грейс,Грузберг А.,Скороход А. С.,,Престиж БУК,2022,Ретро библиотека приключений и научной фантастики,,Классическая зарубежная проза,630,210,140,35,8.67,1553,https://www.labirint.ru/books/847687/
850028,Лик в бездне. Семь шагов к Сатане,Меррит Абрахам Грейс,Грузберг А.,"Скороход А. С., Финлей В., Пауль Ф.",,Престиж БУК,2022,Ретро библиотека приключений и научной фантастики,,Классическая зарубежная проза,612,207,130,32,10,1553,https://www.labirint.ru/books/850028/
874869,Московский Лес. 4 романа в 2 книгах. День ботаника. Клык на холодец. Забытые в небе. Леса хватит,Батыршин Борис Борисович,,,,Секачев В.Ю.,2022,Клубная фантастика,,Современная отечественная проза,1102,210,138,55,5.5,2251,https://www.labirint.ru/books/874869/
979888,Почти всемогущие,Габбасова Ирина Маратовна,,,,Пять четвертей,2023,Искажения,,,330,216,146,16,8.65,863,https://www.labirint.ru/books/979888/
560242,Секрет черного камня,Булычев Кир,,Лисогорский Марк Наумович,Мещеряков Вадим Юрьевич,Издательский дом Мещерякова,2017,БИСС,,,536,224,170,18,9.08,691,https://www.labirint.ru/books/560242/
898919,The House of Footsteps,West Mathew,,,,Harpercollins,2022,,,,412,223,140,27,9,3025,https://www.labirint.ru/books/898919/
898787,Midnight in Everwood,Kuzniar M A,,,,HQ,2021,,,Young adult на английском языке,530,227,163,30,9.5,3025,https://www.labirint.ru/books/898787/
899108,The Ghost Woods,Cooke C.J.,,,,Harpercollins,2022,,,,524,225,147,40,0,3025,https://www.labirint.ru/books/899108/
898999,The Change,Miller Kirsten,,,,HQ,2022,,,,720,242,165,40,10,3025,https://www.labirint.ru/books/898999/
898610,The End Of Men,Sweeney-Baird Christina,,,,The Borough Press,2021,,,,642,240,161,35,0,3025,https://www.labirint.ru/books/898610/
898452,The Embroidered Book,Heartfield Kate,,,,Harper Voyager,2022,,,,938,240,164,55,9,3025,https://www.labirint.ru/books/898452/
652135,Сага о Копье. Драконы Летнего Полдня,"Уэйс Маргарет, Хикмэн Трэйси","Незнамов Дмитрий, Анащенко Виктор, Двинина Валерия",,,Фантастика,2018,DragonLance,,Современная зарубежная проза,920,247,168,30,9.33,900,https://www.labirint.ru/books/652135/
865953,Выше радуги,Абрамов Сергей Александрович,,"Юдин Владимир Владимирович, Мазурин Герман Алексеевич, Банных А.",,Престиж БУК,2022,Ретро библиотека приключений и научной фантастики,,Современная отечественная проза,642,207,136,33,0,1621,https://www.labirint.ru/books/865953/
954449,Bad Cree,Johns Jessica,,,,Scribe Publications,2023,,,,288,215,135,20,0,3038,https://www.labirint.ru/books/954449/
